,date,time,bid,bs,ask,as
9663,2023-01-02,1672673946.0,1219.61,4.8377023,1219.62,23.7382685
9664,2023-01-02,1672673947.0,1219.61,4.8377023,1219.62,23.7382685
9665,2023-01-02,1672673948.0,1219.61,4.8377023,1219.62,23.7382685
9666,2023-01-02,1672673949.0,1219.61,4.8374675,1219.62,23.7382685
9667,2023-01-02,1672673950.0,1219.61,8.0989142,1219.62,23.7381208
9668,2023-01-02,1672673951.0,1219.61,8.0989142,1219.62,23.7381208
9669,2023-01-02,1672673952.0,1219.61,8.0989142,1219.62,23.7381208
9670,2023-01-02,1672673953.0,1219.61,8.0989142,1219.62,23.7381208
9671,2023-01-02,1672673954.0,1219.61,8.0989142,1219.62,20.6668164
9672,2023-01-02,1672673955.0,1219.61,19.9931958,1219.62,20.6668164
9673,2023-01-02,1672673956.0,1219.61,16.7317491,1219.62,22.7316688
9674,2023-01-02,1672673957.0,1219.61,16.7317491,1219.62,20.6668164
9675,2023-01-02,1672673958.0,1219.61,4.0673486,1219.62,22.7275725
9676,2023-01-02,1672673959.0,1219.61,4.0673486,1219.62,20.6627201
9677,2023-01-02,1672673960.0,1219.61,4.0673486,1219.62,22.7302113
9678,2023-01-02,1672673961.0,1219.61,4.0673486,1219.62,20.6653589
9679,2023-01-02,1672673962.0,1219.61,4.0673486,1219.62,22.7302113
9680,2023-01-02,1672673963.0,1219.44,26.4393408,1219.45,14.338339
9681,2023-01-02,1672673964.0,1219.44,26.4393408,1219.45,14.338339
9682,2023-01-02,1672673965.0,1219.44,26.4393408,1219.45,9.338339
9683,2023-01-02,1672673966.0,1219.44,26.4393408,1219.45,9.338339
9684,2023-01-02,1672673967.0,1219.44,26.4393408,1219.45,9.338339
9685,2023-01-02,1672673968.0,1219.44,26.4393408,1219.45,9.338339
9686,2023-01-02,1672673969.0,1219.44,26.4393408,1219.45,9.338339
9687,2023-01-02,1672673970.0,1219.44,33.2807672,1219.45,2.5451737
9688,2023-01-02,1672673971.0,1219.44,33.2807672,1219.45,2.5451737
9689,2023-01-02,1672673972.0,1219.44,33.2807672,1219.45,2.5451737
9690,2023-01-02,1672673973.0,1219.44,33.2807672,1219.45,7.5353913
9691,2023-01-02,1672673974.0,1219.44,33.2807672,1219.45,2.5353913
9692,2023-01-02,1672673975.0,1219.44,33.2807672,1219.45,2.5353913
9693,2023-01-02,1672673976.0,1219.44,33.2807672,1219.45,2.5353913
9694,2023-01-02,1672673977.0,1219.44,33.2807672,1219.45,2.5353913
9695,2023-01-02,1672673978.0,1219.44,33.2807672,1219.45,7.5353913
9696,2023-01-02,1672673979.0,1219.44,33.2807672,1219.45,7.5353913
9697,2023-01-02,1672673980.0,1219.44,33.2807672,1219.45,7.5353913
9698,2023-01-02,1672673981.0,1219.44,33.278366,1219.45,7.5353913
9699,2023-01-02,1672673982.0,1219.44,33.278366,1219.45,7.5232128
9700,2023-01-02,1672673983.0,1219.44,33.278366,1219.45,7.5232128
9701,2023-01-02,1672673984.0,1219.44,33.278366,1219.45,7.525659
9702,2023-01-02,1672673985.0,1219.44,33.278366,1219.45,7.525659
9703,2023-01-02,1672673986.0,1219.44,33.2616848,1219.45,2.3432027
9704,2023-01-02,1672673987.0,1219.44,33.2616848,1219.45,2.3340976
9705,2023-01-02,1672673988.0,1219.44,33.2616848,1219.45,2.3340976
9706,2023-01-02,1672673989.0,1219.44,33.2616848,1219.45,2.3340976
9707,2023-01-02,1672673990.0,1219.44,33.2616848,1219.45,2.3340976
9708,2023-01-02,1672673991.0,1219.44,27.4816848,1219.45,7.3340976
9709,2023-01-02,1672673992.0,1219.44,27.4816848,1219.45,7.3340976
9710,2023-01-02,1672673993.0,1219.44,20.6402584,1219.45,7.3340976
